companyLabel,companyName
Aardman Animations,"Aardman Animations, Ltd."
About.com,About.com
Acorn Computers,Acorn Computers Ltd.
Activision,"Activision Publishing, Inc."
"Ad Lib, Inc.","Ad Lib, Inc."
Adnams Brewery,Adnams
Aermacchi,Aermacchi
Airco,The Aircraft Manufacturing Company Limited
Airspeed Ltd.,Airspeed
Alfa Romeo,Alfa Romeo Automobiles S.p.A.
Altria,"Altria Group, Inc."
Amstrad,Amstrad Limited
Arthur Andersen,Arthur Andersen
Arthur Treacher's,Arthur Treacher's Fish and Chips
Auster,Auster Aircraft Limited
AviaBellanca Aircraft,AviaBellanca Aircraft Corporation
Avro,A.V. Roe and Company (Avro)
Aérospatiale,Aérospatiale
Advancement Via Individual Determination,AVID
Advancement Via Individual Determination,(Advancement Via Individual Determination)
Ambit Energy,Ambit Energy
Anadolu Agency,Anadolu Ajansı
Anadolu Agency,Anadolu Agency
Aspen Pharmacare,Aspen Pharmacare Holdings Limited
A. Alfred Taubman,A. Alfred Taubman
ABC Kids (Australia),ABC Kids
ABNXcess,Asian Broadcasting Network (M) Sdn Bhd (Closed)
ABN AMRO Group,ABN AMRO Group N.V.
AMIN Worldwide,AMIN Worldwide
ARCA SGR,ARCA SGR
ARTech Consultores SRL,ArTech
ATR (company),ATR International AG
Abt Electronics,Abt Electronics
Aces High Light Aircraft,Aces High Light Aircraft
Ad Astra Aero,Ad Astra Aero
Adept Technology,"Adept Technology, Inc."
Advantage Rent a Car,Advantage Rent a Car
Advent International,Advent International
Advent Software,Advent Software Inc.
Aera Energy,Aera Energy LLC
Air Ceylon,Air Ceylon
Air Ecosse,Air Ecosse
Air Gemini,Air Gemini
Air Weapons Complex,Air Weapons Complex
Aircraft Designs,Aircraft Designs Inc
Albright Stonebridge Group,Albright Stonebridge Group
Algemene Bank Nederland,Algemene Bank Nederland
Allied Dunbar,Allied Dunbar
Almo Sounds,Almo Sounds
Alok Industries,Alok Industries
Alyeska Pipeline Service Company,Alyeska Pipeline Service Company
Amarchand & Mangaldas & Suresh A Shroff & Co,Amarchand & Mangaldas & Suresh A Shroff & Co
Anna's Linens,Anna's Linens
Arabesque (company),Arabesque
Arabesque Records,Arabesque Records
Artech Digital Entertainment,Artech Digital Entertainment
Artech House,Artech House
Arthur Allen (Labour politician),Arthur Allen
Ascom (company),Ascom Holding AG
Ascom Group,Ascom Group
Australian International Beer Awards,Australian International Beer Awards
Avions Voisin,Avions Voisin
Azur Air,Azur Air
AMAX Information Technologies,AMAX
AWAL,AWAL
AccessKenya Group,Access Kenya Group
Ace Hotel,Ace Hotel
"Adar, Inc","Adar, Inc"
Adex Mining,Adex Mining Inc.
