kkk_name,kkk_description,sophistication,time_horizon,brokers,start_date,currency,net_asset_value,latest_period_returns_lifetime
EUROPE VALUE PORTFOLIO,"Europe Value portfolio will target to create absolute returns by investing in larger cap European stocks and corporate bonds. The equity longs will focus on stocks trading at cheap valuation while offering reasonable Free cash flow and dividend yields. Depending on opportunities, the portfolio will also include equity shorts as portfolio hedge or to create alpha.",4,ZERO_TO_TWO,[1],2017-07-04 05:50:51.315088,USD,31900.124764,0.0749912773074158
DREAM TEAM,"1. Star selection</br>
The Dream Team is a portfolio that invests in the best 30 companies in the world.</br></br>

The strategy starts from filtering the world universe by the best brands according to brand research specialists. Then companies’ financials are analysed and companies ranked according to well-established factors including value, growth, momentum, quality, sentiment, balance sheet strength, low risk and ESG metrics.</br></br>

Brand can be seen as a key component of the concept of moat used by Warren Buffett and Charlie Munger used to select “Great businesses at fair prices”. If anything, the value of brands tend to grow with the globalisation and digitalisation of consumption.</br></br>

2. Teamwork</br>
The final selection identifies the leaders by sector and balances the portfolio by country, region and currency according to global equity indices weights so that the portfolio is well diversified.</br></br>

The output is a concentrated portfolio diversified between the developed markets main regions, currencies and sectors that is able to provide exposure to the main equity markets in a sustainable way. </br></br>

A long term perspective and low turnover is to be expected.",4,FIVE_TO_TEN,[1],2017-05-18 10:00:56.206587,USD,35388.2686260891,0.154949691237535
LQD,"This kkk is the most popular option for investors looking to gain exposure to investment grade corporate bonds, making it a useful tool for those looking to access a corner of the bond market that should be a core component of any long-term, buy-and-hold portfolio. LQD is probably of limited use for short term traders, who will prefer to utilize more extreme ends of the risk spectrum to capitalize off of short term movements in asset prices and risk tolerance. This ETF should, however, be very useful to those building a long-term portfolio; exposure to corporate bonds can deliver attractive yields without excessive risks. LQD can specifically be helpful for those with holdings in AGG or BND, beefing up the relatively minor allocations those aggregate products make to corporate debt (those ETFs are dominated by government bonds). While LQD is spread out across the maturity spectrum, investors do have options for more granular exposure to long term (VCLT) or short term (SCPB, VCSH) corporate debt. LQD is extremely cost efficient, and offers an impressively deep underlying portfolio of fixed income securities. But there are some interesting alternatives out there that may make more sense for certain investors. CBND, for example, offers similar exposure but uses a unique weighting methodology that may be more appealing. Whereas LQD gives the largest weightings to the biggest issues of debt, CBND uses fundamental factors such as return on assets and interest coverage ratio to determine the weightings assigned.",1,ZERO_TO_TWO,"[1, 509]",2017-10-04 10:40:30.276,SGD,163.7192958,-0.00904741682748527
ALL WEATHER US - UNLEVERAGED,"This kkk invests in US Treasury ETFs and Unleveraged US stock based ETFs. The strategy is rebalanced every quarter, with the rebalancing mechanism being determined by an algorithm that takes into account the overall performance of the strategy so far. 

This strategy is optimised for investors who doesn't want to take leverage on US based ETFs via kkk.AI, with returns being the principal objectives of the strategy.",4,TWO_TO_FIVE,"[1, 509]",2017-12-26 15:20:55.846,USD,1058.6,0.010296134934958
BEST OF SMALL & MIDCAP FUNDS,"An investment strategy which auto selects a basket of the best performing small & midcap funds funds. Ideal for investors looking to get exposure in small & midcap mutual funds. The fund selection is done using kkk's proprietary algorithm. This strategy allows passive investment, eliminating the need for continuous market tracking and involvement. Focus is on maximizing absolute returns. Allocation is done using an algorithmic strategy to maximise kkk returns.

The investor in addition gets the benefit of diversification across different mutual fund. Rebalancing will happen as needed. This strategy is ideal for individuals who want to pick the best performing mutual funds. Since the best performers change from time to time, we will also auto re-balance the holdings as needed. The product is oriented towards individuals who want to get the best small & midcap fund available in market. This is an ideal kkk for high risk - high return oriented investors.",5,TWO_TO_FIVE,"[39, 511]",2018-01-10 15:39:10.345,INR,100300.709165256,-0.998083042314859
DB X-TRACKERS FTSE CHINA 50 UCITS ETF DR,db x-trackers FTSE China 50 UCITS ETF DR,1,ZERO_TO_TWO,[509],2017-11-20 06:56:20.924,SGD,57.7035644,0.0629056415376934
GVM GLOBAL BALANCED,"The strategy combines three pillars: Growth, Value and Momentum. It develops a heat map of the markets and sectors in the markets are identified. Stocks are selected to ensure that there is a strong exposure to the right sectors in terms of growth, value and momentum.</br></br>

- Growth: EPS growth, Sales growth and EBITDA growth estimates are used to assess forecasts of markets and sectors.</br>
- Valuation: The PE, PB and EV/EBITDA, and growth rates for the major equity markets globally and their equity sector indices are looked at for a sense of whether each market has priced in less or more growth. Technical indicators are used to confirm if PE, EV/EBITDA and PB valuations are overbought or in oversold territory.</br>
- Momentum Indicators: These are run for each country and its sectors across different time frames.</br></br>

The weight of Stocks is based on how strong their multi-year growth prospects are. Stocks are monitored for shifts in their growth prospects and momentum. Stocks are sold if they get over-valued, or their growth engines are affected or they fall out of momentum. A small amount of contrarian positions are retained.</br></br>

There is a risk algorithm that will determine if the portfolio is moved to cash and whether market shorts are to be put on. This algorithm is used to generate buy and sell signals on the major markets and overall portfolio.",4,TWO_TO_FIVE,[1],2017-03-30 06:29:53.544988,USD,128314.57171419,0.249882698960385
VIG,"This ETF is linked to the Dividend Achievers Select Index, which offers exposure to dividend paying large-cap companies that exhibit value characteristics within the U.S. equity market. Investors with a longer-term horizon should consider the importance of large cap value stocks and the benefits they can add to any well-balanced portfolio including dividends and rock solid stability. Companies within this segment are often considered some of the safest firms in the world and tend to be in more stable industries as well, potentially skewing some portfolios that are heavy in value securities. VIG is linked to an index consisting of roughly 140 holdings and exposure is tilted most heavily towards consumer, health care, and industrials. Securities are chosen for inclusion in the fund based on their history of increasing dividends; only companies that have increased payouts for at least ten consecutive years are included in the fund. Thanks to this focus, SDY only invests in companies that are most likely to continue to pay out dividends in the future making it a solid pick for dividend focused investors even if the diversification is a little lacking. However, its more generous definition of a dividend aristocrat gives it a bigger selection than SDY but also a smaller yield as well.",1,ZERO_TO_TWO,"[1, 509]",2017-10-04 10:31:27.024,SGD,142.090623,0.0948173523391104
VGT,"VGT tracks a broad index of companies in the information technology sector which the company considers to be the following three areas; software, consulting, and hardware. As a result, this fund tracks some of the most crucial companies in the technology sector across a wide range of market cap levels. The fund focuses entirely on U.S. stocks, and is relatively top heavy; three securities make up 25% of the fund 54% of assets go to the top ten even though the fund holds over 425 securities in total. Investors should also note that this fund dedicates the majority of its assets to giant and large cap funds, meaning that it will be less volatile than some of the other products in the space that focus on relatively unproven companies and technologies. As a result, this fund will be more of a value play than one that presents strong growth opportunities. So while this is a decent fund for those looking to achieve broad exposure to the tech sector without the influence of semiconductors, most investors should look to broader fund which take into account all sectors of the technology industry instead for their portfolios.",1,ZERO_TO_TWO,"[1, 509]",2017-10-04 11:06:46.749,SGD,233.6940151,0.122689359832875
VMFS ZERO 2 HERO PORTFOLIO,"VMFS ZEROES BECOMING HEROES is a medium risk portfolio of companies in trouble but have are fair chances of revival. If they revive, they will turn out to be multi-baggers. Even if 1-2 of them multiply, the portfolio will deliver above average returns. </br></br>
All the companies in the Portfolio are Asset Rich but face business issues related to growth, balance sheet related problems of heavy debt weighing them down.  However, with time, they have a fair chance of revival with sale of assets, restructuring, capital infusion, change of management etc.</br></br>
If they revive, they can be multi-baggers (2X-10X) from the current levels. In the portfolio, if even 1-2 revive and become multi-baggers, the overall portfolio will deliver handsome returns, and other stocks don't deliver returns.",5,TWO_TO_FIVE,[39],2017-09-30 10:15:20.978,INR,169925,0.572286845223511
